2024-11-04 18:06:48,604 | DEBUG | released all reader slots
2024-11-04 18:06:48,712 | DEBUG | No writer
2024-11-04 18:06:48,712 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,712 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,731 | DEBUG | No writer
2024-11-04 18:06:48,731 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,731 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,750 | DEBUG | No writer
2024-11-04 18:06:48,751 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,751 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,774 | DEBUG | No writer
2024-11-04 18:06:48,774 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,774 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,791 | DEBUG | No writer
2024-11-04 18:06:48,792 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,792 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,809 | DEBUG | No writer
2024-11-04 18:06:48,809 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,809 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,825 | DEBUG | No writer
2024-11-04 18:06:48,825 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,825 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,842 | DEBUG | No writer
2024-11-04 18:06:48,842 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,842 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,860 | DEBUG | No writer
2024-11-04 18:06:48,860 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,860 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,875 | DEBUG | No writer
2024-11-04 18:06:48,875 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,875 | DEBUG | Got value from dict - Ophir
2024-11-04 18:06:48,990 | DEBUG | No writer
2024-11-04 18:06:48,990 | DEBUG | Acquired reader lock
2024-11-04 18:06:48,990 | DEBUG | Got value from dict - None
2024-11-04 18:06:49,009 | DEBUG | No writer
2024-11-04 18:06:49,009 | DEBUG | Acquired reader lock
2024-11-04 18:06:49,009 | DEBUG | Got value from dict - None
2024-11-04 18:06:49,027 | DEBUG | No writer
2024-11-04 18:06:49,027 | DEBUG | Acquired reader lock
2024-11-04 18:06:49,027 | DEBUG | Got value from dict - None
2024-11-04 18:06:49,051 | DEBUG | Value added to dictionary
