2024-11-17 18:22:16,207 | DEBUG | Tests complete
2024-11-17 18:28:10,457 | DEBUG | Written to file
2024-11-17 18:28:10,457 | DEBUG | File Handle Closed
2024-11-17 18:28:10,459 | DEBUG | Value added to dictionary
2024-11-17 18:28:10,459 | DEBUG | Written to file
2024-11-17 18:28:10,459 | DEBUG | File Handle Closed
2024-11-17 18:28:10,459 | DEBUG | Read from file complete
2024-11-17 18:28:10,459 | DEBUG | File Handle Closed
2024-11-17 18:28:10,459 | DEBUG | Converted data to dict
2024-11-17 18:28:10,459 | DEBUG | Value added to dictionary
2024-11-17 18:28:10,459 | DEBUG | Written to file
2024-11-17 18:28:10,460 | DEBUG | File Handle Closed
2024-11-17 18:28:10,460 | DEBUG | acquired all reader slots
2024-11-17 18:28:10,460 | DEBUG | Value added to dictionary
2024-11-17 18:28:10,460 | DEBUG | adding name: Ophir to db was True
